Year,State,Hospital_Type,ED_Wait_Min,Seen_On_Time_Percent,Admissions,Readmission_30_Days_Percent,Mortality_Per_1000,Avg_Cost_Per_Patient_AUD,Doctors,Nurses,ICU_Beds,Patient_Satisfaction_Percent,Profit_Million_AUD
2022,WA,Public,27.3,77,116528,10.7,2.52,3337,260,1469,70,80,69.19
2023,QLD,Private,22.4,65,69037,12.53,3.34,10066,362,588,132,60,37.65
2025,QLD,Private,24.0,56,100103,14.08,3.13,10813,653,1873,76,65,73.39
2025,SA,Public,24.0,80,129987,13.4,4.57,13057,386,507,35,86,12.31
2021,SA,Private,21.3,90,145695,12.3,5.95,14329,539,1575,92,82,16.56
2021,ACT,Private,24.1,87,23513,12.57,3.58,11983,452,1289,117,90,-15.45
2022,QLD,Public,17.3,67,135183,7.65,2.07,6611,688,659,120,71,38.92
2021,ACT,Public,22.5,94,33335,17.19,5.11,6700,240,546,69,80,52.19
2023,NT,Private,23.6,79,64140,13.13,5.63,12708,720,524,48,61,57.35
2025,ACT,Private,23.7,58,124126,6.97,7.78,9118,384,866,132,64,-5.02
2022,SA,Public,23.8,73,100373,16.49,5.54,10105,571,1822,45,68,24.42
2021,WA,Public,24.7,72,97658,18.99,4.83,5673,668,1256,30,79,-2.31
2023,ACT,Public,27.4,91,54840,19.21,5.44,5122,136,267,127,77,46.21
2023,NSW,Private,29.4,84,51007,10.54,7.57,14977,628,386,57,81,-4.21
2021,WA,Public,21.8,73,76947,7.03,6.97,10082,111,391,35,67,70.42
2025,QLD,Public,19.0,77,126833,12.78,3.94,11250,436,1436,45,93,3.06
2021,QLD,Private,19.8,70,138637,6.69,3.42,13625,195,1823,137,68,9.14
2022,ACT,Private,22.6,55,140721,19.01,3.58,5062,202,627,24,66,65.09
2021,WA,Private,23.2,66,113220,7.75,5.03,4254,668,1574,88,89,25.85
2023,SA,Private,21.2,78,46393,8.79,6.46,6688,709,1331,143,77,-17.6
2021,SA,Private,18.5,88,77480,11.1,5.02,6748,747,1463,37,86,29.46
2025,TAS,Public,22.7,62,137243,10.75,2.41,9342,398,415,145,75,-11.55
2024,QLD,Public,25.9,72,108290,16.92,6.34,7130,227,376,129,80,78.53
2021,VIC,Private,28.0,59,106335,11.84,6.84,7257,536,1788,97,64,38.81
2025,TAS,Private,22.2,80,124263,7.56,3.74,6029,710,1553,40,88,5.65
2025,SA,Private,22.9,84,29107,9.01,5.98,5846,296,760,56,81,36.37
2023,WA,Private,20.4,67,148181,12.64,4.56,11662,303,1080,43,73,-12.31
2025,NT,Private,24.8,73,25993,7.21,7.33,7035,549,825,11,78,59.99
2025,SA,Public,20.8,83,116341,14.17,7.07,5899,590,1673,115,94,72.53
2025,WA,Public,27.9,57,113650,13.49,5.15,12638,401,806,103,83,67.44
2025,TAS,Public,16.1,80,123325,15.72,6.15,7443,561,1670,81,65,14.18
2022,QLD,Public,23.2,94,144980,19.07,7.3,7789,62,1760,61,62,12.58
2022,SA,Private,26.5,66,137595,18.68,4.97,3912,608,1867,144,93,-16.49
2023,ACT,Public,25.9,56,72066,19.19,3.88,7242,200,378,99,61,45.14
2021,WA,Private,38.5,65,131850,8.67,6.52,10541,99,594,101,74,33.49
2025,QLD,Private,26.7,82,62942,6.97,3.32,4711,264,1368,87,74,25.93
2021,NT,Private,20.0,72,36138,9.53,4.33,11866,693,1075,134,91,70.76
2021,NT,Public,24.5,67,138558,18.43,7.19,4439,421,1161,140,80,-3.21
2023,VIC,Private,16.1,91,147408,19.58,6.35,13926,162,397,59,76,-19.03
2025,WA,Public,24.6,76,64527,17.89,4.42,8613,301,1168,102,93,-12.67
2025,TAS,Public,20.8,66,29190,6.65,3.29,6630,390,1307,133,91,2.34
2024,VIC,Private,29.6,56,112259,19.21,4.14,8375,102,868,63,82,-16.67
2021,VIC,Private,22.3,91,139773,11.35,3.7,10103,179,1308,143,94,30.28
2021,NSW,Private,24.4,61,98422,5.14,3.06,11877,242,656,87,92,11.41
2022,SA,Public,21.8,80,75698,11.64,6.46,12318,640,1699,87,84,-1.95
2024,WA,Private,33.7,80,102315,5.69,3.51,7216,106,1476,29,80,55.01
2022,VIC,Public,23.4,78,113710,13.16,4.73,5466,146,271,100,93,0.45
2022,NSW,Private,34.2,66,49086,10.08,4.32,13589,247,422,108,78,48.76
2022,TAS,Private,29.1,70,37322,12.1,7.89,10824,696,475,65,86,14.93
2023,QLD,Public,27.4,77,128132,14.2,4.35,14630,196,1999,11,68,31.18
2023,ACT,Public,26.8,94,145604,18.03,2.48,7124,733,1469,114,64,73.39
2022,ACT,Public,27.0,63,120814,14.93,2.54,3965,624,1564,121,64,-16.26
2024,WA,Public,15.4,86,139324,11.51,5.54,9928,626,772,33,84,30.03
2021,VIC,Public,23.6,69,103569,17.29,5.6,9096,344,1123,118,85,65.44
2024,ACT,Public,29.2,91,105610,18.58,4.51,9157,772,670,77,78,38.8
2025,SA,Private,24.8,67,148921,6.8,4.59,12111,670,653,123,89,7.69
2023,ACT,Private,18.0,59,23435,12.98,2.32,11120,733,1994,93,75,19.77
2021,ACT,Public,24.7,65,121505,9.27,5.1,14064,61,1168,58,66,48.03
2021,ACT,Private,33.5,64,73331,5.71,5.03,4508,382,206,41,77,69.08
2025,NT,Public,31.2,67,48942,15.03,2.9,12404,269,387,70,80,-15.89
2025,NSW,Private,24.7,69,79635,17.94,2.62,3871,447,203,138,90,-12.85
2022,VIC,Private,29.8,61,49059,7.44,2.74,14446,391,1966,111,60,12.51
2023,SA,Public,23.2,94,77557,17.19,2.61,3863,561,1868,44,62,3.28
2023,VIC,Public,16.5,82,133457,17.8,5.66,14300,221,1106,60,90,6.49
2024,NT,Public,20.4,86,72389,18.72,3.18,6055,517,1348,54,84,2.13
2022,WA,Private,32.8,89,73014,8.98,3.51,8133,797,1238,86,67,-0.42
2022,WA,Public,23.6,69,52826,18.56,3.04,5682,215,1159,122,60,-6.94
2022,WA,Private,23.8,90,50297,9.81,7.75,8278,748,724,74,66,73.4
2022,TAS,Public,23.5,75,63890,13.29,7.13,8448,219,829,23,66,-5.58
2023,ACT,Private,34.5,60,41322,5.76,3.38,3613,613,1463,102,67,0.44
2023,TAS,Private,33.1,55,55739,5.66,3.97,4872,561,974,140,78,4.63
2022,NSW,Public,36.1,58,29719,15.81,3.26,14346,238,559,33,76,73.3
2024,WA,Private,24.2,65,99553,11.67,4.95,10723,169,717,74,70,55.57
2021,NT,Private,26.5,80,28314,8.84,2.12,10189,154,1543,147,70,58.97
2021,SA,Public,17.4,91,113831,7.86,6.03,14565,723,1454,22,61,-9.52
2024,VIC,Private,32.4,77,95164,15.05,5.14,8386,90,1253,109,63,63.63
2022,ACT,Public,19.2,83,127658,5.01,7.39,9942,726,1757,147,87,20.82
2023,QLD,Public,26.1,75,97028,17.09,2.99,14383,370,1120,108,92,6.28
2021,SA,Public,19.5,81,56113,6.19,6.82,11759,384,1379,64,70,37.58
2025,ACT,Public,22.1,93,137174,7.87,6.75,3244,209,1853,72,62,62.22
2025,TAS,Private,20.8,94,35357,10.79,2.76,3020,313,1051,80,64,57.87
2024,TAS,Private,22.0,67,118865,12.27,4.39,11585,579,1134,108,80,69.0
2022,SA,Private,22.3,77,40365,10.32,3.02,8767,734,1100,75,81,72.81
2021,TAS,Public,22.3,70,59029,9.81,3.53,13247,526,1928,88,70,3.81
2022,WA,Private,29.2,84,21737,19.46,3.58,6515,401,598,82,81,22.39
2021,NSW,Private,19.5,58,94632,14.62,5.34,13567,594,1569,56,72,-18.54
2024,VIC,Public,26.1,94,105474,5.35,4.47,4910,259,1418,90,62,67.93
2024,NSW,Public,31.1,70,98218,11.45,7.69,11481,545,367,135,72,-4.54
2025,ACT,Private,22.4,85,144606,18.13,2.76,8882,431,576,61,87,66.15
2022,VIC,Public,21.4,79,47499,9.52,7.84,13750,725,1712,32,70,12.94
2025,NT,Public,23.8,66,130027,6.42,3.38,11552,530,1974,149,70,16.81
2022,VIC,Public,30.9,80,130402,16.38,6.64,11076,54,1585,30,80,-16.09
2025,NSW,Public,26.0,91,148692,14.09,4.03,4622,83,1705,73,80,12.69
2023,SA,Private,22.3,87,127430,13.55,2.86,7314,194,1467,81,66,68.84
2023,VIC,Public,27.4,82,66157,5.8,7.15,5453,400,1804,139,76,-17.45
2023,NT,Public,19.5,63,76247,7.11,3.85,5015,632,806,78,73,20.63
2023,NT,Public,28.4,66,148411,14.34,5.95,13232,514,1210,77,92,-16.86
2021,NT,Public,27.0,59,61034,8.12,5.4,13236,397,788,137,70,17.09
2023,NSW,Public,23.5,82,20294,12.56,4.83,5800,791,1394,116,72,-2.74
2024,VIC,Public,20.8,89,118072,13.17,4.97,14162,174,1736,118,60,5.22
2024,QLD,Public,20.6,59,44596,9.25,6.39,12023,320,1629,81,93,67.76
2021,SA,Public,27.7,88,118185,19.23,2.53,12985,406,1797,112,68,23.6
2023,WA,Private,31.1,88,31434,17.64,6.01,14884,576,1430,74,72,7.38
2023,VIC,Public,21.8,67,78382,15.84,7.37,12983,547,1377,143,89,38.93
2023,NT,Private,27.3,93,58098,6.17,2.35,14033,202,247,121,66,-5.79
2025,QLD,Public,14.6,68,24655,6.59,2.84,13346,102,1872,88,73,5.94
2022,WA,Public,22.1,65,103029,12.39,6.3,11772,198,1224,135,65,34.62
2025,WA,Public,24.8,92,66228,7.41,4.62,9752,552,1970,130,93,3.75
2022,ACT,Public,20.5,58,23771,19.67,4.42,10453,499,1991,96,75,47.91
2023,VIC,Private,20.3,87,94099,7.38,2.82,5853,268,1630,57,65,29.15
2023,NSW,Public,21.7,61,140811,12.31,5.04,5236,674,1330,97,67,57.2
2025,VIC,Public,26.5,62,76799,10.46,2.76,7176,326,372,77,83,74.82
2025,QLD,Private,24.1,91,82257,14.59,4.86,5155,501,705,110,62,-8.42
2022,WA,Private,13.8,64,37558,6.94,6.58,12536,477,1353,26,63,13.47
2024,VIC,Public,14.4,69,119468,11.45,3.55,8698,132,597,47,91,11.95
2022,NSW,Private,22.0,92,78436,9.12,4.88,9829,267,493,147,60,-4.88
2025,ACT,Private,27.3,69,127779,18.32,7.95,11537,787,751,63,93,61.03
2025,VIC,Private,11.3,59,144891,5.61,6.12,4886,576,1670,143,68,55.99
2021,SA,Public,22.5,83,143725,18.71,7.05,9471,453,1049,143,71,28.44
2025,ACT,Public,22.4,73,112103,17.49,4.49,11746,339,1239,61,69,33.78
2021,NSW,Public,31.9,64,143400,9.46,6.61,6770,469,1862,24,69,-14.05
2024,QLD,Private,23.1,66,52376,16.84,2.24,11391,388,1084,77,82,35.55
2022,WA,Public,26.9,58,139154,5.47,2.74,5940,760,1572,121,65,59.13
2022,VIC,Private,25.7,85,107458,19.5,3.22,6490,719,1203,113,83,37.38
2021,NSW,Public,14.3,72,97924,12.9,4.41,10899,468,1426,16,83,6.53
2022,ACT,Public,28.8,70,49332,9.55,7.07,3306,256,333,60,80,46.75
2025,SA,Private,26.1,94,66737,10.44,4.08,6075,735,970,67,90,16.15
2023,NSW,Public,27.5,90,109031,6.0,5.93,4656,745,1749,118,89,34.49
2021,TAS,Private,44.6,79,93970,19.84,6.26,10244,314,707,120,93,28.76
2022,NT,Private,14.6,77,71952,5.59,5.52,9611,85,1289,40,77,18.12
2021,SA,Public,33.6,66,40991,14.82,4.14,9322,422,679,101,71,51.89
2021,ACT,Private,23.6,88,47472,11.64,5.46,5692,537,1062,115,94,68.39
2023,QLD,Public,26.4,90,79946,19.23,4.05,4764,308,658,22,66,-19.48
2025,WA,Public,24.8,91,125566,8.69,2.5,3275,580,1565,128,84,73.36
2021,ACT,Private,22.9,57,46849,12.98,7.96,8271,72,1930,124,65,31.15
2022,NT,Public,22.2,63,21541,12.24,2.76,10331,153,825,66,60,50.07
2024,QLD,Private,26.6,72,149237,15.54,2.43,14553,290,358,135,75,65.56
2021,VIC,Public,17.4,89,22765,6.02,7.27,12593,765,360,63,63,26.71
2021,NSW,Public,28.8,88,63074,7.91,3.81,12967,302,1477,142,88,63.5
2023,TAS,Public,22.9,68,122795,8.22,5.9,14573,191,1139,28,87,-2.24
2025,SA,Public,19.3,58,49283,16.07,3.97,8025,704,1750,86,81,-4.08
2024,SA,Public,22.7,83,121387,7.84,4.35,7050,500,1772,78,67,45.75
2022,NSW,Private,31.3,69,140044,13.6,3.57,11080,356,354,53,91,67.01
2024,TAS,Private,22.3,82,120161,8.23,4.06,6460,549,685,47,92,69.24
2022,NSW,Private,26.8,70,20769,17.92,4.46,13072,671,631,71,72,44.37
2025,VIC,Private,21.3,66,37806,19.13,6.32,6835,57,1250,31,86,32.55
2022,NT,Private,28.8,59,110518,12.78,5.07,7278,118,1203,82,77,13.14
2023,QLD,Private,28.4,88,22972,10.28,7.66,4844,751,1235,134,77,78.0
2023,ACT,Public,34.2,55,38256,8.51,2.25,14569,740,266,14,72,11.97
2023,SA,Public,24.1,93,123903,5.75,5.02,3071,624,741,63,81,54.42
2023,VIC,Private,28.3,86,145574,9.03,5.51,10386,117,295,95,73,33.2
2024,QLD,Private,25.5,80,38653,14.81,7.52,9862,767,414,12,70,40.85
2025,VIC,Public,31.5,71,123579,13.0,2.29,10340,457,393,47,81,19.35
2022,TAS,Public,21.4,81,106669,19.16,5.44,12868,567,1870,82,76,76.48
2022,SA,Public,28.7,78,59339,10.94,7.12,12487,168,1513,47,91,37.17
2023,ACT,Private,24.0,89,45757,15.41,3.45,10635,80,1767,134,73,73.78
2023,NSW,Private,24.7,93,123376,12.34,7.26,4043,567,1084,79,88,-19.24
2021,NSW,Private,25.5,80,62399,12.69,2.11,13817,532,238,74,65,37.27
2025,QLD,Public,26.3,92,64013,9.02,6.39,6042,256,1138,34,63,51.72
2024,ACT,Public,24.4,77,117605,11.82,7.6,3814,718,1138,25,70,54.51
2022,NT,Private,26.1,76,34706,12.06,5.94,8622,628,405,24,69,70.5
2021,WA,Private,32.9,58,58231,15.6,4.63,13386,436,1141,140,87,-19.56
2021,TAS,Public,29.9,63,47909,19.11,2.27,14692,461,754,46,70,-19.97
2022,QLD,Public,29.3,58,125754,9.94,7.52,10332,419,683,134,94,27.23
2024,WA,Public,22.7,61,145777,5.63,4.82,3309,402,1560,122,74,-17.07
2021,VIC,Public,20.6,77,96631,12.44,2.17,9661,385,1719,10,67,77.45
2021,TAS,Private,29.8,56,77572,13.17,6.14,13253,338,970,80,79,2.21
2025,VIC,Public,29.4,78,105879,7.53,4.89,7227,189,448,112,80,27.27
2024,NT,Public,32.4,94,83767,16.41,2.75,4877,349,1297,28,60,-13.89
2021,ACT,Public,22.0,85,46469,19.77,3.29,13994,62,572,61,88,32.2
2024,SA,Private,23.9,85,21313,19.19,2.39,5486,713,1078,127,83,18.0
2022,TAS,Private,16.8,94,27847,7.96,5.45,9886,477,1034,116,89,-15.53
2023,WA,Public,23.0,88,70222,18.13,5.73,7835,449,1070,64,94,13.51
2021,NT,Public,30.0,78,94702,15.57,5.03,14937,158,901,23,92,19.14
2025,SA,Public,22.7,80,29930,11.81,6.9,3794,534,337,22,79,78.99
2022,NSW,Private,28.2,70,23285,13.11,7.17,9786,405,1147,93,75,0.79
2024,WA,Private,24.0,67,143637,17.74,5.69,7014,198,656,99,68,34.48
2022,QLD,Private,26.6,69,55863,12.2,2.08,10392,765,1013,36,90,78.73
2021,NSW,Public,19.3,81,36704,10.6,6.17,8353,356,1022,98,76,59.2
2024,NT,Private,25.4,58,38705,12.4,4.51,6407,582,1141,146,90,79.34
2023,NSW,Public,10.0,70,20555,13.69,5.39,13648,109,643,50,82,76.83
2022,QLD,Public,24.1,84,41323,7.84,5.89,13043,484,552,57,65,28.95
2021,TAS,Public,16.8,84,90968,18.51,4.1,3974,70,1195,21,89,49.64
2025,NSW,Private,31.0,90,86922,15.11,7.5,12239,431,993,147,66,-8.96
2024,ACT,Public,28.9,57,73915,14.5,2.8,7237,294,610,15,70,24.11
2022,WA,Private,27.3,76,129543,6.49,6.03,14981,122,877,50,93,60.9
2022,SA,Private,32.6,76,30619,14.06,2.03,14213,498,1761,15,71,30.53
2023,NSW,Public,20.3,66,92390,6.81,7.55,10248,125,652,139,86,50.27
2023,WA,Public,33.7,75,148918,6.18,2.68,7369,747,618,24,71,54.58
2025,VIC,Private,29.7,58,128500,12.91,2.57,11050,639,649,25,72,5.35
2025,WA,Public,23.8,85,134337,11.04,4.0,3464,439,1194,94,67,67.57
2021,SA,Private,30.7,85,79274,13.83,4.24,8327,626,1808,19,75,25.98
2021,WA,Public,19.5,77,93173,6.34,3.29,8415,391,1338,147,88,1.02
2025,QLD,Private,20.9,74,41225,11.46,5.51,11115,339,250,147,94,66.54
2025,NT,Private,22.0,69,131266,7.62,4.66,3287,617,1592,28,88,21.78
2024,SA,Private,22.4,77,46739,19.81,2.21,6195,380,1906,77,90,55.03
2023,NT,Private,19.7,82,67708,13.42,3.92,12067,308,1738,51,72,34.8
2021,TAS,Public,31.1,70,148041,15.31,6.86,4992,475,409,149,71,18.19
2023,NT,Public,23.7,91,73019,9.88,6.14,10450,751,1087,93,61,60.99
2023,VIC,Private,26.8,75,96154,6.42,6.35,5925,55,1197,143,92,38.45
2025,QLD,Private,22.1,69,122097,19.64,6.19,4120,55,1192,62,67,19.06
2024,TAS,Public,15.9,71,27373,9.29,3.87,8310,240,1049,107,91,-9.04
2022,WA,Public,26.4,91,55281,11.36,2.6,3446,197,826,51,87,69.54
2024,SA,Public,15.4,67,40187,14.75,3.63,14024,454,878,39,74,-16.45
2024,VIC,Public,24.7,73,87863,5.37,6.99,14760,307,1658,18,82,66.32
2023,QLD,Public,18.2,84,117927,17.15,7.88,9627,779,976,43,83,16.0
2024,TAS,Public,34.9,72,127113,13.05,4.96,5896,528,1450,97,72,43.93
2021,TAS,Private,29.6,68,104085,9.17,2.06,3721,139,862,59,80,72.22
2023,VIC,Public,25.5,90,137996,5.92,2.84,5163,59,467,85,71,-4.83
2021,ACT,Public,31.3,90,59220,7.44,3.93,13774,136,315,55,72,36.7
2022,WA,Private,20.8,74,142755,18.43,5.47,12543,200,1823,55,82,56.44
2023,VIC,Public,27.7,73,27642,15.29,2.45,6980,674,953,135,87,55.76
2022,TAS,Public,26.0,61,99971,8.75,7.66,7502,79,1583,26,73,32.56
2023,NSW,Public,26.3,58,75556,5.98,4.19,14576,177,1552,75,76,42.47
2025,QLD,Public,31.4,88,53760,15.36,7.48,4725,127,1263,113,83,55.75
2024,VIC,Public,28.7,56,58192,13.59,6.68,11885,470,381,14,93,64.1
2025,ACT,Private,26.4,59,144257,11.07,6.53,6413,104,1713,132,81,56.18
2022,TAS,Public,16.7,64,24381,10.45,5.64,3494,529,1432,134,69,15.4
2024,WA,Private,20.2,86,116583,8.25,5.76,3947,354,1102,121,67,79.67
2023,NT,Private,24.4,67,39558,15.04,5.83,3022,595,1496,25,80,23.45
2024,TAS,Public,25.5,93,50782,19.56,5.77,4128,154,1342,90,66,-17.55
2021,WA,Private,19.3,59,24782,7.64,5.32,3557,221,1605,100,85,16.26
2024,VIC,Public,37.1,64,111417,13.96,7.92,12808,548,1145,144,72,-7.22
2021,WA,Private,32.6,64,74712,11.36,6.39,6730,71,1759,145,75,-7.86
2024,SA,Private,28.0,92,125764,11.7,6.66,8341,336,457,81,89,8.15
2021,SA,Public,25.4,81,114945,8.81,7.23,9998,440,1706,105,90,-14.66
2022,SA,Public,23.9,75,39462,17.38,3.29,10182,666,708,120,64,48.85
2025,ACT,Public,20.2,62,80030,12.28,2.5,10034,198,291,91,91,-12.6
2023,ACT,Public,25.4,55,88519,13.15,4.9,4656,321,1384,47,75,0.33
2024,NSW,Public,26.3,82,76411,9.57,5.08,7173,348,348,63,68,-10.71
2025,ACT,Private,18.8,93,75206,7.73,6.98,8441,221,316,85,81,-13.68
2023,NT,Private,26.7,68,117469,6.29,4.66,11998,96,657,24,73,6.78
2023,VIC,Private,24.2,75,66950,15.71,5.43,6312,675,764,125,75,37.19
2021,TAS,Private,15.5,84,22523,7.94,5.16,11645,256,1013,18,79,76.47
2022,TAS,Private,20.7,75,80926,15.35,2.23,14167,502,244,17,74,67.56
2022,NSW,Private,22.9,63,29677,10.86,5.69,5324,444,973,119,85,67.59
2025,ACT,Private,34.4,71,95828,11.24,6.97,12639,350,433,60,68,-2.39
2022,NT,Public,27.8,59,35089,12.04,2.95,8595,757,1598,40,60,6.49
2024,WA,Public,18.3,85,24581,10.52,5.57,13753,725,1770,111,94,-12.36
2022,NSW,Private,27.4,94,31907,6.51,5.56,8984,225,396,12,79,57.85
2025,NT,Private,17.3,92,25609,9.64,2.99,5511,159,224,108,65,-13.02
2022,WA,Public,30.4,73,71153,14.96,2.74,14063,733,594,92,69,35.67
2024,NT,Public,22.6,90,70539,14.99,7.88,3362,251,913,52,92,4.79
2021,WA,Public,24.5,87,64143,9.29,4.36,6454,217,1259,38,75,4.34
2025,QLD,Public,31.6,67,42936,11.9,3.36,5798,663,1697,19,65,79.07
2021,NT,Private,18.6,68,70182,7.9,3.03,7620,135,422,149,78,55.68
2021,TAS,Public,18.0,87,128261,8.16,6.01,14645,703,1063,55,90,63.69
2021,SA,Private,22.1,83,131259,5.35,5.66,6255,774,729,39,61,37.2
2023,ACT,Private,30.2,90,119524,18.45,5.86,4217,100,1411,103,77,67.1
2023,WA,Private,17.4,64,115042,8.16,2.53,4485,161,1625,41,87,44.55
2021,QLD,Public,10.8,85,33163,8.41,7.36,13295,512,456,56,63,74.62
2025,NT,Public,22.7,60,146686,9.19,4.34,8349,491,853,97,60,8.13
2024,TAS,Private,27.8,55,79758,6.91,3.88,13728,320,1359,72,75,39.53
2024,SA,Private,31.0,61,66057,14.59,4.77,10195,626,790,140,61,49.01
2022,WA,Private,22.7,81,32537,6.13,4.34,13047,393,643,32,60,19.29
2025,NT,Public,22.9,75,42419,7.01,7.18,10750,232,617,83,82,67.97
2023,NT,Private,30.8,82,62578,14.67,7.58,9079,552,1515,59,85,77.98
2021,WA,Public,15.7,70,94991,10.09,3.82,12399,59,773,133,70,29.38
2022,NSW,Private,23.1,77,141211,15.62,7.18,12640,543,328,22,60,19.06
2024,NSW,Private,26.0,74,142762,13.36,6.69,11035,283,1210,135,70,27.19
2023,TAS,Private,27.2,92,94599,8.84,7.58,4507,347,540,38,83,65.27
2023,SA,Public,22.5,79,20834,14.76,3.47,4003,293,1009,130,69,44.55
2021,WA,Public,25.2,82,52214,6.74,5.46,9403,558,1480,99,73,-15.52
2024,TAS,Private,12.6,59,112934,13.05,3.65,3925,400,1191,142,73,34.22
2025,TAS,Public,21.7,75,143798,11.56,6.94,11275,316,1947,87,66,-18.27
2023,VIC,Private,27.3,72,120028,9.02,2.03,9583,679,1789,118,82,57.85
2021,NT,Public,20.1,60,141286,14.06,5.39,14934,705,1910,23,81,12.83
2025,ACT,Public,25.3,83,22413,18.07,4.04,6927,250,299,145,86,27.2
2024,NT,Public,27.2,73,29505,19.98,3.94,12734,288,238,57,61,59.87
2023,NSW,Private,23.3,87,140681,14.12,5.87,3985,383,462,33,78,-15.36
2025,SA,Public,25.9,55,122802,11.07,7.11,7231,464,349,88,66,-4.15
2025,NT,Public,20.2,57,22105,8.38,5.66,8302,533,1856,60,71,19.8
2025,WA,Private,24.0,75,88104,8.86,7.12,8291,486,889,12,62,2.99
2023,TAS,Private,28.1,89,148303,12.19,3.59,3908,295,1012,137,64,13.79
2023,WA,Private,25.8,94,127634,10.51,5.12,14100,57,1553,128,67,79.82
2022,VIC,Private,22.1,57,134897,18.71,4.7,8051,201,1343,67,73,62.54
2024,SA,Public,26.1,79,78408,10.52,2.07,13929,441,1807,134,66,68.39
2021,TAS,Public,28.6,92,57679,10.6,5.34,5586,260,418,122,66,73.71
2025,WA,Public,14.8,74,136908,10.75,5.97,12335,416,1105,64,91,14.09
2022,NSW,Public,30.8,88,134921,17.55,5.55,4331,719,1346,128,67,9.71
2021,ACT,Public,23.3,75,119096,14.76,6.42,9851,619,443,129,71,3.41
2022,VIC,Private,27.1,77,99731,14.21,5.43,14540,135,1085,89,69,63.01
2023,SA,Public,31.0,60,132205,10.01,2.4,12745,104,786,51,73,47.96
2025,VIC,Public,18.1,67,85131,17.27,2.7,13534,762,717,30,68,3.62
2021,NSW,Public,21.5,77,84280,5.58,5.58,4806,683,1244,19,89,17.7
2021,SA,Private,23.6,63,35762,18.06,3.65,13292,495,389,66,64,30.67
2021,VIC,Private,21.1,71,137798,12.69,2.48,3805,669,1448,65,60,32.81
2021,QLD,Public,33.7,56,136854,10.97,4.58,7147,353,1114,47,60,68.87
2021,NSW,Private,20.7,73,126830,12.46,5.33,13967,181,814,95,79,18.06
2022,NSW,Private,22.2,73,78703,15.01,3.97,3071,470,1055,122,70,70.85
2025,NSW,Private,26.0,61,101434,5.19,6.32,3027,434,665,121,85,24.14
2023,QLD,Private,19.0,74,83079,18.07,5.86,11660,247,298,63,62,54.64
2023,QLD,Private,23.0,63,41577,11.7,4.0,6983,96,1029,55,65,73.03
2023,WA,Private,26.6,71,21214,10.14,6.53,11955,789,1586,13,70,70.76
2023,TAS,Private,23.3,81,106339,7.07,5.89,10055,252,1196,71,67,-14.3
2022,ACT,Public,24.5,56,68114,11.59,5.82,9690,310,1306,133,88,0.57
2024,VIC,Public,22.4,90,109234,12.44,5.32,12616,739,1916,137,69,27.69
2025,WA,Private,17.4,73,83230,11.05,2.07,13440,73,1887,121,93,23.16
2021,VIC,Public,26.6,71,143163,15.18,6.18,6832,736,255,94,83,44.09
2024,ACT,Public,33.8,59,52980,11.31,4.26,12867,389,1925,13,76,74.47
2023,TAS,Private,25.1,93,87194,19.42,7.66,3559,461,1245,74,91,-8.76
2024,QLD,Public,26.1,72,97806,13.99,6.91,10957,310,779,71,70,25.19
2025,TAS,Private,28.5,61,132333,17.11,5.53,6831,335,384,99,93,-0.76
2021,QLD,Private,18.7,71,57792,6.64,3.51,13110,562,721,129,83,69.41
2021,ACT,Private,33.5,93,65807,10.96,3.22,10344,135,1801,139,64,76.46
2025,TAS,Public,26.0,90,144297,10.05,4.04,8171,479,463,146,88,27.87
2025,WA,Public,33.2,94,145266,13.54,4.86,3078,630,1448,54,93,-9.6
2023,SA,Public,21.3,58,42301,17.92,3.78,7929,80,1858,121,75,58.53
2021,WA,Public,34.1,92,25141,6.18,5.09,6647,759,1261,51,84,49.71
2024,VIC,Private,28.9,79,136482,6.09,2.99,4031,652,1202,50,67,15.47
2022,WA,Private,27.8,59,124292,17.75,7.87,10381,489,322,98,88,68.74
2022,ACT,Public,26.2,84,142984,8.19,2.65,5072,398,1379,51,84,77.58
2025,NSW,Private,23.8,66,33777,15.03,7.59,9911,461,500,44,82,35.79
2023,VIC,Private,31.0,58,58346,13.14,7.48,9088,577,1032,76,93,36.57
2022,TAS,Public,25.7,78,74703,17.49,5.15,4484,359,1290,50,62,9.75
2021,VIC,Private,15.2,83,114977,6.88,6.35,13437,445,844,108,89,38.45
2025,SA,Public,19.4,63,67819,6.95,4.62,8838,387,1073,59,93,23.96
2024,QLD,Private,24.1,58,48469,13.35,5.78,4550,723,593,113,91,10.22
2025,TAS,Public,26.5,78,23845,19.2,4.04,8497,486,1875,95,88,-13.28
2024,NT,Private,24.7,68,130186,11.22,3.81,7682,753,1817,88,68,5.27
2025,VIC,Private,31.1,59,43290,9.9,5.47,4829,712,1793,54,61,-0.21
2025,TAS,Public,15.2,72,132551,14.1,4.99,6751,414,860,115,66,34.2
2025,TAS,Public,25.7,73,50699,18.96,5.48,9081,162,1628,131,64,40.17
2024,TAS,Public,15.9,66,64252,17.55,3.72,13223,225,1672,86,67,40.86
2024,QLD,Public,28.8,72,118682,19.93,4.2,9601,198,1354,65,91,18.82
2025,NT,Private,24.5,71,23293,5.34,2.5,7459,227,268,121,77,22.12
2022,ACT,Private,27.1,84,138017,6.69,2.31,6856,431,1568,102,77,63.42
